BR;KM;LAT;LONG
116;4,3;-22,526714;-44,738468
116;4,31;-22,526756;-44,738554
116;4,32;-22,526798;-44,738641
116;4,33;-22,52684;-44,738727
116;4,34;-22,526881;-44,738813
116;4,35;-22,526922;-44,738899
116;4,36;-22,526964;-44,738986
116;4,37;-22,527005;-44,739072
116;4,38;-22,527047;-44,739159
116;4,39;-22,527089;-44,739245
116;4,4;-22,527131;-44,739331
116;4,41;-22,527174;-44,739417
116;4,42;-22,527216;-44,739503
116;4,43;-22,52726;-44,739588
116;4,44;-22,527303;-44,739674
116;4,45;-22,527347;-44,73976
116;4,46;-22,52739;-44,739845
116;4,47;-22,527434;-44,73993
116;4,48;-22,527478;-44,740015
116;4,49;-22,527522;-44,7401
116;4,5;-22,527567;-44,740185
116;4,51;-22,527612;-44,74027
116;4,52;-22,527657;-44,740354
116;4,53;-22,527703;-44,740439
116;4,54;-22,527748;-44,740523
116;4,55;-22,527793;-44,740608
116;4,56;-22,527837;-44,740692
116;4,57;-22,527881;-44,740778
116;4,58;-22,527922;-44,740864
116;4,59;-22,527963;-44,740951
116;4,6;-22,528004;-44,741038
116;4,61;-22,528044;-44,741125
116;4,62;-22,528085;-44,741212
116;4,63;-22,528124;-44,7413
116;4,64;-22,528164;-44,741387
116;4,65;-22,528207;-44,741472
116;4,66;-22,528246;-44,74156
116;4,67;-22,528282;-44,741649
116;4,68;-22,528325;-44,741734
116;4,69;-22,528366;-44,741821
116;4,7;-22,528409;-44,741907
116;4,71;-22,52845;-44,741993
116;4,72;-22,528492;-44,742079
116;4,73;-22,528533;-44,742166
116;4,74;-22,528575;-44,742252
116;4,75;-22,528617;-44,742338
116;4,76;-22,528658;-44,742425
116;4,77;-22,5287;-44,742511
116;4,78;-22,528741;-44,742597
116;4,79;-22,528782;-44,742684
116;4,8;-22,528828;-44,742768
116;4,81;-22,528869;-44,742854
116;4,82;-22,528911;-44,74294
116;4,83;-22,528952;-44,743027
116;4,84;-22,528991;-44,743115
116;4,85;-22,529018;-44,743206
116;4,86;-22,529046;-44,743298
116;4,87;-22,529074;-44,74339
116;4,88;-22,529102;-44,743482
116;4,89;-22,52913;-44,743573
116;4,9;-22,529158;-44,743665
116;4,91;-22,529186;-44,743758
116;4,92;-22,529217;-44,74385
116;4,93;-22,529248;-44,743942
116;4,94;-22,529279;-44,744034
116;4,95;-22,52931;-44,744126
116;4,96;-22,529343;-44,744217
116;4,97;-22,529376;-44,744309
116;4,98;-22,529409;-44,7444
116;4,99;-22,529441;-44,744492
116;5;-22,529471;-44,744584
116;5,01;-22,5295;-44,744677
116;5,02;-22,529523;-44,744771
116;5,03;-22,529536;-44,744867
116;5,04;-22,529557;-44,744962
116;5,05;-22,529581;-44,745057
116;5,06;-22,529603;-44,745151
116;5,07;-22,529624;-44,745246
116;5,08;-22,529644;-44,745341
116;5,09;-22,529662;-44,745436
116;5,1;-22,529681;-44,745531
116;5,11;-22,529698;-44,745627
116;5,12;-22,529713;-44,745723
116;5,13;-22,529728;-44,74582
116;5,14;-22,529743;-44,745915
116;5,15;-22,529757;-44,746011
116;5,16;-22,529772;-44,746108
116;5,17;-22,529788;-44,746204
116;5,18;-22,529804;-44,746299
116;5,19;-22,529824;-44,746394
116;5,2;-22,529846;-44,746489
116;5,21;-22,529872;-44,746582
116;5,22;-22,529885;-44,746678
116;5,23;-22,529883;-44,746775
116;5,24;-22,529891;-44,746872
116;5,25;-22,529905;-44,746968
116;5,26;-22,529918;-44,747064
116;5,27;-22,529931;-44,74716
116;5,28;-22,529943;-44,747257
116;5,29;-22,529957;-44,747353
116;5,3;-22,529971;-44,747449
116;5,31;-22,529986;-44,747545
116;5,32;-22,530001;-44,747641
116;5,33;-22,530016;-44,747737
116;5,34;-22,530031;-44,747833
116;5,35;-22,530046;-44,747929
116;5,36;-22,530061;-44,748025
116;5,37;-22,530076;-44,748121
116;5,38;-22,530091;-44,748217
116;5,39;-22,530107;-44,748313
116;5,4;-22,530123;-44,748408
116;5,41;-22,530139;-44,748504
116;5,42;-22,530156;-44,7486
116;5,43;-22,530173;-44,748696
116;5,44;-22,53019;-44,748791
116;5,45;-22,530208;-44,748887
116;5,46;-22,530226;-44,748982
116;5,47;-22,530244;-44,749078
116;5,48;-22,530263;-44,749173
116;5,49;-22,530282;-44,749268
116;5,5;-22,530302;-44,749363
116;5,51;-22,530321;-44,749458
116;5,52;-22,530342;-44,749553
116;5,53;-22,530362;-44,749648
116;5,54;-22,530383;-44,749743
116;5,55;-22,530404;-44,749838
116;5,56;-22,530426;-44,749933
116;5,57;-22,530448;-44,750028
116;5,58;-22,53047;-44,750122
116;5,59;-22,530492;-44,750217
116;5,6;-22,530514;-44,750312
116;5,61;-22,530537;-44,750406
116;5,62;-22,53056;-44,7505
116;5,63;-22,530583;-44,750594
116;5,64;-22,530607;-44,750688
116;5,65;-22,530632;-44,750782
116;5,66;-22,530657;-44,750876
116;5,67;-22,530683;-44,75097
116;5,68;-22,530709;-44,751063
116;5,69;-22,530736;-44,751157
